,fs,ks,recomb,select,initi,seed
0,"[0.1740411342051592, 0.09775634471982826, 0.06349804206215683, 0.06516928187213221, 0.07333300468015477, 0.07615465585705505, 0.07523832799415585, 0.06567606428198441, 0.06876914669614988, 0.07939273228096108, 0.08436333677247208, 0.07089799135472293, 0.07339267386568911, 0.0669399091549177, 0.06892118564190641, 0.07588085491513853, 0.07254675554506336, 0.07420055727817379, 0.08615409898823717, 0.08329136701532752, 0.07535613819755119, 0.07699836779518056, 0.08083153200617024, 0.08497337560767022, 0.07523596407237299, 0.07184009465425896, 0.07446164440951486, 0.08629980544577315, 0.08293277045216263, 0.08267964740048182, 0.0822910357922788]","[0.07919521528915273, 0.06375198558056445, 0.07401299920344813, 0.07568423901342351, 0.08258074092898962, 0.08194552802902841, 0.08147913078697903, 0.07366673861424776, 0.07993224680539512, 0.08575830116093582, 0.09072890565244682, 0.0813351399229562, 0.07924350862028672, 0.07385633798879263, 0.07583761447578134, 0.08113274577278787, 0.07809696282914544, 0.07751777044154583, 0.09084702847479831, 0.07596174767921635, 0.0752992488042915, 0.07590810019935032, 0.07948765800443554, 0.08071837744540793, 0.07577872602150361, 0.07238285660338958, 0.07505755131477676, 0.07290754974917509, 0.0717193454621735, 0.07552556559425967, 0.07475977800027854]",PLUS,LINEAR,RANDOM,SPLATTER
1,"[0.1150836990273106, 0.013756794034230396, 0.05363368161146508, 0.12761522352657695, 0.13257667053383146, 0.12072807026456166, 0.10810858279071414, 0.1143210526877866, 0.12324132938927963, 0.12369933155667567, 0.12115779385331871, 0.11710779576401598, 0.1224734051619619, 0.12325192379905588, 0.12267461907538625, 0.12158705969818773, 0.12190018835363337, 0.120411328753757, 0.12289541027248796, 0.12348234992981681, 0.11820191829891412, 0.11945220572143965, 0.11970628686302573, 0.12194000571161244, 0.12338813348515122, 0.11860342387620075, 0.12020964246012297, 0.1207438154995559, 0.124410848054767, 0.121122651328703, 0.11706129748206985]","[0.07670138295786476, 0.07304230285519733, 0.07437213030243667, 0.02385432099407098, 0.025458077583121637, 0.02765716508134702, 0.0393079637884458, 0.042295890095803604, 0.03321774547059365, 0.033323722567863895, 0.032684172055274144, 0.030267473565775995, 0.0341484166068123, 0.031591754486702296, 0.032650924323450646, 0.032383554310120584, 0.032323355534569165, 0.031334412254597516, 0.035016592300093484, 0.03162621964530094, 0.02833395912892613, 0.027897315299689463, 0.0305523468569831, 0.03183751296633073, 0.03300564718751535, 0.0304098613077451, 0.03125960902796376, 0.03124084720766056, 0.0337490592398694, 0.0304608625138054, 0.028384853194699175]",PLUS,LINEAR,RANDOM,PATCH
2,"[0.18778613508266145, 0.0137601539518479, 0.014590652541571719, 0.009399110650027097, 0.05069809901436818, 0.04567692944405782, 0.045121854741544454, 0.04091515174619715, 0.04298119557664187, 0.03631485278139297, 0.031573004962802374, 0.03860632750770435, 0.03644364030034107, 0.03862315991268314, 0.04189928810764154, 0.03684614328719687, 0.03985832178308174, 0.03220624944555608, 0.021855609598533113, 0.03670921890673536, 0.02923522051419092, 0.035270146571985746, 0.03381868236222017, 0.034246027195118496, 0.02678900681480678, 0.02934423349757059, 0.015149314997066721, 0.016534475761234672, 0.02027344675378326, 0.022970213855083854, 0.02247032120979003]","[0.09124157261730217, 0.13539529150716403, 0.11278345029650018, 0.10238098083555938, 0.09957910555098394, 0.12127910462337815, 0.11352333046993493, 0.11022132229685487, 0.1131203829409255, 0.10916454339385183, 0.10513983213570292, 0.11143459265104255, 0.10897064153829722, 0.11192228639972764, 0.11448559204899425, 0.1089517130622789, 0.11863692280265685, 0.10705041198589561, 0.10475769395299704, 0.10886650608733958, 0.10917374624662815, 0.11511019245220121, 0.1131731167788648, 0.10886357951464766, 0.09880241802138984, 0.10717645158895042, 0.09990554570848467, 0.10474996663909854, 0.10829275090376934, 0.10180094663974276, 0.10493757660539381]",PLUS,LINEAR,THRESHOLD,SPLATTER
3,"[0.14608408309057144, 0.03857997389307724, 0.10417854731942999, 0.061319687040353274, 0.06856873733807109, 0.07061345447271794, 0.07599322436782967, 0.07127332945859007, 0.06959726764175002, 0.07117952199962091, 0.07632846912542993, 0.07397379467319856, 0.07008981041694123, 0.06967658805866392, 0.07045183114984233, 0.06846398142655773, 0.07633398272644955, 0.06413021686243542, 0.06795064941551723, 0.07482209667504641, 0.07610986089989706, 0.06728178722501557, 0.07161337219614886, 0.07352706158398101, 0.07055911331336945, 0.06752509025666738, 0.0669308824889347, 0.07940481727994918, 0.07528144731893517, 0.06455374687903495, 0.06430257338558498]","[0.02968971257698907, 0.08821797620899892, 0.04395675113874899, 0.0714435024926788, 0.06467869959647468, 0.06672341673112153, 0.07489149939469458, 0.07329816949549418, 0.07498771270787222, 0.07062165158381185, 0.07271484598163318, 0.07210456146139799, 0.0694894963565106, 0.07107452522849872, 0.06808088345206265, 0.06609303372877805, 0.07258557769559272, 0.061638773159816196, 0.06367305013355451, 0.0693293837845293, 0.07231178390954515, 0.06442086298400222, 0.07023001779892091, 0.07489439864852031, 0.06947469020578939, 0.06422989866368092, 0.06638557370202908, 0.07067515811582209, 0.07068186917758167, 0.06643062650825247, 0.06522091891730655]",PLUS,LINEAR,THRESHOLD,PATCH
4,"[0.21662209216291806, 0.11797712878512549, 0.19179251040380413, 0.1672663549575378, 0.11735441165947741, 0.15917972903279823, 0.15365118665823874, 0.15881635929390714, 0.1554693261024541, 0.15575726983292598, 0.16548644652213598, 0.168852413040806, 0.15650211508574569, 0.16943339838022858, 0.1597266424986624, 0.15468184979912, 0.1572156865649429, 0.1572308850143683, 0.1516068327284098, 0.15192398363500476, 0.15800228331043106, 0.17011372091247937, 0.14881972393451556, 0.13383403051795295, 0.14804975014974595, 0.14830018735312456, 0.15977557835813785, 0.153675140124266, 0.14940681845203474, 0.14470701482734283, 0.1355019642504298]","[0.04344391300469851, 0.05432762123271395, 0.062088265702858865, 0.06111780296752588, 0.05435241867091532, 0.04769465106035541, 0.051214499702579255, 0.06270904541410537, 0.05398885395477714, 0.05629068342085428, 0.058740003112096276, 0.07078322572581587, 0.05421617539299405, 0.07136421106523845, 0.06523763523122128, 0.05014459159225951, 0.049522663320264546, 0.04802057230535756, 0.04462766595170836, 0.0440199238257555, 0.04872656875716227, 0.06471353862014886, 0.03891543143873509, 0.04012401150043207, 0.03959940022768784, 0.050646488824971615, 0.05533652502956293, 0.050898803755725655, 0.04654598803515987, 0.04184618441046793, 0.03096468515002134]",PLUS,ROULETTE,RANDOM,SPLATTER
5,"[0.23685716822396216, 0.21546891396051512, 0.1928777919410977, 0.17483686646095525, 0.16618333045459344, 0.1751700336824494, 0.1745665458050974, 0.19558943014481653, 0.16596337222815502, 0.18391789819843604, 0.16407482879190785, 0.18264656589075468, 0.17004051799288927, 0.18315857607349878, 0.16673380759880535, 0.17221472344260938, 0.16940905611603502, 0.17347781843490337, 0.1852078767970259, 0.16558723217337934, 0.1902407585994104, 0.18720325866445744, 0.19410188326560596, 0.19208183153824154, 0.19625264206819293, 0.1734430094060512, 0.17997840669108323, 0.18532716082515072, 0.1670833276268065, 0.17759625236021181, 0.17693841553154557]","[0.04301160945823597, 0.06839230396004413, 0.06299289678824795, 0.0368254006382978, 0.0326614069715707, 0.038533185309904, 0.02732043111699565, 0.04895046222672746, 0.02683795625189671, 0.03819303435206921, 0.03070135085883999, 0.0399012695353622, 0.02124304518624401, 0.04637249999976277, 0.0333603296657375, 0.02643990127173847, 0.03574811173635946, 0.03810040038277232, 0.04639102117226528, 0.02523624105627614, 0.041997276848297266, 0.04108092186827116, 0.03934973983196295, 0.04310950478204777, 0.044764743559841745, 0.025237916082185514, 0.031773313367217546, 0.041371236846386605, 0.016468377907015053, 0.03693902856737872, 0.04064912181442809]",PLUS,ROULETTE,RANDOM,PATCH
6,"[0.012725660567728087, 0.1052834643322195, 0.07373478710423645, 0.09762997537093454, 0.05867134274917966, 0.08391876131361616, 0.09001850756525137, 0.06902380074925651, 0.07378080837078387, 0.06963228959077224, 0.07900422055074467, 0.0751392749754094, 0.0633711487158097, 0.0715590640633526, 0.0761461625023125, 0.06961877161510302, 0.07877045494425948, 0.05888348799148304, 0.04772401740628115, 0.060841186343816564, 0.06773080351117458, 0.051225605172965816, 0.051823090357466316, 0.05245088660170584, 0.05385034947622554, 0.050046451522010954, 0.04582504546200276, 0.03987044407243534, 0.050430320735732885, 0.04726495576256212, 0.05805886487617425]","[0.05418705590616271, 0.27080208536435346, 0.1303312455224972, 0.24326969980684723, 0.12063142025501111, 0.17422326969688268, 0.20436893962027006, 0.17783902951616848, 0.19177764644206408, 0.18149199085418577, 0.1820298995380751, 0.1777190314190216, 0.18014995379524562, 0.17439053301181084, 0.17929025268409074, 0.18253770875519407, 0.1895856079245708, 0.17110639083435583, 0.15994692024915394, 0.17166386064366612, 0.17203942226078445, 0.16440786576777094, 0.16709958759491572, 0.17085996650423654, 0.17252299413075867, 0.17112672933899392, 0.16663116571885045, 0.16067656432928304, 0.1784016600354393, 0.16528528443405882, 0.17409614374416088]",PLUS,ROULETTE,THRESHOLD,SPLATTER
7,"[0.20040934399937824, 0.13889170281583513, 0.17899479943725505, 0.033019068532340386, 0.16504505587197277, 0.19038659597961438, 0.15207956738015593, 0.16228057766527362, 0.16241383796451894, 0.14996190033902676, 0.1690020687511974, 0.16380237091358904, 0.17110907418315097, 0.17035693007803532, 0.1799094296037625, 0.1656084648024604, 0.18401887761479982, 0.18252724636994563, 0.17451552291595537, 0.18991739945826303, 0.1816858744051691, 0.1789848358963493, 0.17659785166749087, 0.18097098568846842, 0.18482960086803762, 0.18786742243066484, 0.18762342367644091, 0.18356108673079152, 0.17640400944701232, 0.19401804341953366, 0.17985652227987323]","[0.054376921302412375, 0.018094147549484137, 0.029664115164118474, 0.16628655160628653, 0.09859390640348752, 0.08023794801511361, 0.08562841791167067, 0.08501114987637103, 0.09596268849603369, 0.07581508869728987, 0.09962865415416003, 0.09132369100508797, 0.09345769390278896, 0.08916986122244872, 0.10245479786527541, 0.08544543474282301, 0.09981290188304515, 0.10033466490589994, 0.09445248792944382, 0.10916205606157393, 0.09553407129619289, 0.09171232447178009, 0.09186588501821912, 0.09464580320905616, 0.09839761315077884, 0.10082932975203353, 0.10011831172010671, 0.10227629848494557, 0.09583959722215478, 0.11217507501099058, 0.09801355387133015]",PLUS,ROULETTE,THRESHOLD,PATCH
8,"[0.24046202226519375, 0.005170038556413422, 0.10065102361258516, 0.03417821257331121, 0.051449966645961624, 0.0653372550694004, 0.06359610356791967, 0.04531881938696978, 0.05165008854708203, 0.0508998993334949, 0.06308962031263758, 0.06930108878994472, 0.0455708638683302, 0.04892852899038707, 0.057462410190243285, 0.05998813594754135, 0.05154692107238525, 0.06490162093509427, 0.05871359063252012, 0.057171307667314236, 0.052466951308021655, 0.06381069636133725, 0.04987452975115235, 0.06401441953046376, 0.05015213222855167, 0.05527675624374651, 0.0527426921169214, 0.05939455436226741, 0.062043775424175135, 0.05575137445727938, 0.05649460940044423]","[0.03750690006754504, 0.05565410708800175, 0.07432024551903682, 0.06828657580442496, 0.07759377219799507, 0.08025609167257894, 0.07513111196377191, 0.07211212010158369, 0.07526402999795395, 0.07573243440402468, 0.08382647992299874, 0.08329099198374083, 0.07429453760477811, 0.08184349542622286, 0.08009153702217234, 0.08158752415969023, 0.07757984780581972, 0.08866793529206396, 0.08336626400769205, 0.08190429669461037, 0.07766828825247311, 0.08429367794643408, 0.07317736636302333, 0.08851517027173712, 0.07976070532399727, 0.07708020570623945, 0.07782637295201297, 0.08185715769859778, 0.08738208023141929, 0.08092000025872349, 0.07971687690861985]",COMMA,LINEAR,RANDOM,SPLATTER
9,"[0.17486678559476937, 0.1501634945996669, 0.1321785102707369, 0.13391852146573383, 0.1381860039617713, 0.13408319565319798, 0.13740778334763828, 0.1343757133830319, 0.13540510240743267, 0.13247917611727922, 0.13448869541753214, 0.13346215820473503, 0.13141171208153749, 0.13382690205282927, 0.13632586597868449, 0.13776781786376172, 0.1341470905749837, 0.13389620773604147, 0.13453667420552035, 0.13689239181084686, 0.133051038990926, 0.13352927623794542, 0.13553009451499765, 0.13634949592551168, 0.13469805890550254, 0.13751175311425884, 0.13778763358416282, 0.137806618877548, 0.1386770235366245, 0.13767433594291986, 0.13438590012542811]","[0.0630710527961685, 0.008230480129873229, 0.024980886325850427, 0.022104975142616817, 0.01954703170657894, 0.015201913858277245, 0.02154463551317963, 0.015586097787411728, 0.018124977393262607, 0.016325484408861952, 0.018726450621320813, 0.01681636423710864, 0.015973400776404557, 0.01897818349037271, 0.02042083248676905, 0.018997131993437, 0.02040256571675931, 0.018043396982704674, 0.01884527174578786, 0.02170882971309219, 0.0163032667429434, 0.016725932299441724, 0.019279965293834956, 0.0191654542872139, 0.01649043625194442, 0.019550988327758197, 0.019102816094517923, 0.01915038228880415, 0.019800126215443015, 0.01976088898873767, 0.01765323347136821]",COMMA,LINEAR,RANDOM,PATCH
10,"[0.17006770523443948, 0.11829114374285259, 0.16168411324106388, 0.1559363441384611, 0.1323108257431381, 0.1458460712032084, 0.14567001869381715, 0.1442495863360382, 0.14927005135054033, 0.15005701151661027, 0.14344846148069443, 0.1515073179052345, 0.14707569380263316, 0.14464446097960573, 0.13867448861334838, 0.1420200846076362, 0.14162119301513085, 0.14735247416280017, 0.14795758433155828, 0.14907133109907056, 0.14246788624122353, 0.1408211599626457, 0.1439812839311274, 0.14251237137712863, 0.1378398826260208, 0.13814812662951403, 0.14276026257585117, 0.15232932634128096, 0.14462218783976763, 0.14242161637997433, 0.13906168256161555]","[0.0, 0.05538900082163968, 0.03755303500436374, 0.03918095382242229, 0.059949861618709285, 0.060010899250018755, 0.054888454354356964, 0.04687782315274483, 0.05027611388615266, 0.05648725486144649, 0.05456712612887147, 0.05536326217660993, 0.05226634414671756, 0.04961982069992253, 0.04807033565333461, 0.04818610061661226, 0.05137767042999157, 0.05185779812017365, 0.05451560310232109, 0.05343001087757505, 0.05250846137914462, 0.05334104239962572, 0.054157572832764546, 0.051098864545643316, 0.04752466846746947, 0.04726565448105517, 0.05434160835241024, 0.06123874934479149, 0.05465360681172153, 0.04887060741590597, 0.05799918700543357]",COMMA,LINEAR,THRESHOLD,SPLATTER
11,"[0.219644271985104, 0.14388324636388256, 0.07727499765745997, 0.08195489800824966, 0.08347628297125437, 0.10472203106104354, 0.09043705359176449, 0.1057972682907512, 0.0958769372010058, 0.10494618336614744, 0.09740156695560989, 0.10333764006498417, 0.09945705957115472, 0.10524418379221147, 0.10093590050061785, 0.10045752341936345, 0.0973589357909097, 0.10454897162248661, 0.10101895342015284, 0.1072562754821118, 0.0976439954024917, 0.10668886981039385, 0.1063653324073705, 0.0997475761836878, 0.0981184929388243, 0.10350186219603982, 0.10160740465804595, 0.09890652031633244, 0.10005155312940722, 0.10118845335788915, 0.09794340338348072]","[0.04132375340267924, 0.034975708944055696, 0.07450202745259674, 0.06476125367742656, 0.05785402368962131, 0.050939706532034, 0.04944853332242556, 0.04508261316203629, 0.04621873367364691, 0.050954971181225835, 0.04554464211778522, 0.04879509583069615, 0.041032699080477186, 0.04783402978609536, 0.04504764207007526, 0.045573632956006915, 0.045272125770153396, 0.04917475524857753, 0.04689050328917787, 0.05142874345011992, 0.04287966846905898, 0.05162814907817209, 0.047339473869069656, 0.0448765047781575, 0.04066384279117447, 0.04765431445734622, 0.04559948023760464, 0.04205608373908469, 0.04235168208241371, 0.04110119595687611, 0.04075557853403983]",COMMA,LINEAR,THRESHOLD,PATCH
12,"[0.08570252215078102, 0.2007336138069279, 0.2487477356063346, 0.1880030504164654, 0.23133886667892592, 0.22756997371169643, 0.22611937890529574, 0.22772781103603357, 0.2122401817265761, 0.2097638826201753, 0.22470883081256104, 0.21714626527193792, 0.22882821598937234, 0.21087154233189945, 0.23267858130878213, 0.23060682838100113, 0.23497603550344054, 0.22404741420884583, 0.21798349515140789, 0.22765521145241047, 0.22707732452724697, 0.22168617111646186, 0.2243591284848549, 0.22639477776287947, 0.22363257230860398, 0.2172700356486084, 0.23554248645146472, 0.20485234599152422, 0.2127052786227875, 0.20361357863396704, 0.20538029599274366]","[0.010885492092281783, 0.020856928916895473, 0.049685588228402904, 0.0249903184917755, 0.04289497992688936, 0.041470420040850886, 0.042661902040256945, 0.04500858016442651, 0.03172818647828355, 0.028462063728933402, 0.03406203015904641, 0.02903711799116375, 0.03756468247843433, 0.019753062595816384, 0.04662266614346722, 0.03695695396024795, 0.04492783810409165, 0.03433622119989483, 0.03290381219986026, 0.04145703897207049, 0.035403421860856196, 0.022216182444060387, 0.03429359746744757, 0.03883639395391293, 0.03011879420545598, 0.019019387904230523, 0.057079186029058857, 0.009165898976240825, 0.022592239198686807, 0.03384195516984015, 0.02910215233602178]",COMMA,ROULETTE,RANDOM,SPLATTER
13,"[0.2443296685628445, 0.23418522209913958, 0.12649561867028541, 0.15328917566778827, 0.18198210524537772, 0.17001184156486351, 0.17400532689947948, 0.16595570541107751, 0.1636869844021521, 0.17213780360749562, 0.1620776989861623, 0.16661578715099123, 0.16069535996029918, 0.15314627227572447, 0.16542932768664326, 0.1697898044835224, 0.15028972167877877, 0.14518797634815825, 0.15970917269535911, 0.1613756092452493, 0.1591386934829509, 0.16956254240028162, 0.1667663143251464, 0.17367719631999126, 0.15113046979744715, 0.16586695580469935, 0.16230375136592384, 0.1399971772766218, 0.14869829098276272, 0.1404406854144242, 0.1369168806671189]","[0.04163243193767171, 0.05137927798625672, 0.051715170354826444, 0.0644715365092432, 0.0655190307510181, 0.04329191546489951, 0.05806883665009052, 0.042985392371154105, 0.049928844742972316, 0.05224911822115198, 0.04854877087191978, 0.04576744923720743, 0.039750202480586576, 0.036731933637544956, 0.04187297051353879, 0.04105394067292986, 0.02773118590508098, 0.022656420280429693, 0.0468096412046492, 0.04969170425129244, 0.04489772251363243, 0.052942188824142256, 0.055843357170413103, 0.058715029857362114, 0.029544773119403088, 0.044353833724666364, 0.041471177598262424, 0.02862791493354376, 0.03733600129612425, 0.033706842180338835, 0.03018303743303355]",COMMA,ROULETTE,RANDOM,PATCH
14,"[0.14596629618314247, 0.003303686154040413, 0.140838870092903, 0.1384610923502502, 0.13836936558495944, 0.13088872115954162, 0.13292110695217074, 0.14196797326161323, 0.1288293047873771, 0.13844173744871432, 0.13769316537652956, 0.1411017001960667, 0.14280000110552338, 0.14681381131854834, 0.14224912762828879, 0.13243608453936873, 0.14172128436802953, 0.14096040111254043, 0.13291502787213896, 0.1358174873542369, 0.13758810752260217, 0.1454916767651846, 0.14344233852930674, 0.14278216788569736, 0.1367937950468213, 0.12978270360877733, 0.12634939597429956, 0.12759179364133677, 0.13786380750642577, 0.12940323485768504, 0.12904427763463558]","[0.0, 0.0325208149698476, 0.052430623235836096, 0.059460581875020554, 0.060562916305080046, 0.04661347964506539, 0.04705706111931501, 0.05950291094367837, 0.058607575709216854, 0.04657766131233325, 0.058148908084436984, 0.0567670617487841, 0.05554534983980054, 0.06235847117248875, 0.05236466193595937, 0.04463267863709176, 0.05270440851370737, 0.05417680714014215, 0.0539451987731782, 0.049129310365936534, 0.052681693748733535, 0.054362297136257266, 0.054751589383024914, 0.049774461527494, 0.04950867633638008, 0.03694735314644073, 0.03905352512255917, 0.0463910595727537, 0.05205736966958509, 0.04230431424142792, 0.04568583449127732]",COMMA,ROULETTE,THRESHOLD,SPLATTER
15,"[0.04057913071381264, 0.11651992256917136, 0.11125730058650897, 0.10046214036828326, 0.11795175509986597, 0.10243668898311507, 0.11640792766286316, 0.11241006108458196, 0.12061949429805575, 0.11491345381751036, 0.12671677857898325, 0.1318953291200594, 0.13137517194707768, 0.12240331778201359, 0.1261586623583848, 0.11944103505176822, 0.11545849128696267, 0.12265865141432762, 0.12717684865209505, 0.11272309123491997, 0.1242303812010552, 0.11324249392953926, 0.1234598032487656, 0.12027681547200986, 0.11829157234359915, 0.11135853846453773, 0.12156673349993581, 0.12207337077698656, 0.12649364049873463, 0.11301482138656964, 0.13551969849257225]","[0.0717401966308072, 0.004463856033990783, 0.03609078354303138, 0.04546805499397959, 0.040609759081889844, 0.046202848733552924, 0.04514314761903793, 0.04143111953605495, 0.046495379619666065, 0.051899723038590584, 0.052051637369823406, 0.06618217997597096, 0.0630504542743112, 0.058474068362869704, 0.062093001031204756, 0.052212778168119166, 0.05251549736337484, 0.04957392702075019, 0.05570405131606501, 0.04149519542186652, 0.060503916829772776, 0.056860213807800715, 0.04942760698009891, 0.049204169676012544, 0.048833568130619044, 0.047391121937055684, 0.05097908501925535, 0.05203663794866899, 0.04776666575743635, 0.035111712871824206, 0.04962035476003678]",COMMA,ROULETTE,THRESHOLD,PATCH
